Win,Loss,Conference
0,0,NL
1,0,NL
0,1,NL
2,0,NL
0,2,NL
1,1,NL
2,1,NL
1,2,NL
3,1,NL
2,2,NL
3,2,NL
1,3,NL
2,3,NL
1,4,NL
4,2,NL
3,3,NL
1,5,NL
4,1,NL
1,6,NL
4,3,NL
2,6,NL
5,3,NL
4,4,NL
3,6,NL
5,4,NL
3,4,Both
4,6,NL
2,4,AL
6,3,NL
5,5,NL
4,7,NL
5,6,NL
4,8,NL
6,4,NL
6,6,NL
3,5,AL
5,8,NL
7,3,AL
6,5,NL
5,9,NL
7,4,AL
6,7,NL
4,5,Both
8,4,AL
7,5,NL
6,8,NL
5,10,NL
8,5,NL
7,6,NL
7,7,NL
6,9,NL
5,11,NL
9,5,NL
7,8,NL
5,12,NL
10,5,NL
9,6,NL
7,9,NL
6,12,NL
7,10,NL
7,12,NL
10,6,NL
8,12,NL
7,11,NL
11,6,AL
10,7,NL
8,9,NL
11,7,AL
8,7,NL
8,10,NL
8,13,NL
12,7,AL
11,8,NL
9,7,NL
9,10,NL
8,14,NL
7,13,NL
13,7,Both
11,9,NL
9,8,NL
10,10,NL
8,11,AL
9,14,NL
13,8,NL
12,9,NL
9,9,NL
10,11,NL
9,11,NL
10,14,NL
9,13,NL
11,11,NL
10,15,NL
12,11,NL
10,16,NL
14,8,NL
12,10,NL
13,11,NL
10,13,NL
9,12,NL
10,17,NL
15,8,NL
14,11,NL
11,12,NL
10,18,NL
15,9,NL
14,12,NL
12,12,NL
11,13,NL
11,15,NL
11,18,NL
14,7,AL
15,10,NL
15,12,NL
13,12,NL
12,13,NL
10,12,NL
11,16,NL
11,19,NL
15,11,NL
16,12,NL
14,13,NL
13,13,NL
12,16,NL
17,13,NL
15,14,NL
14,14,NL
11,14,NL
13,17,NL
12,20,NL
16,14,NL
14,15,NL
16,9,NL
17,12,NL
18,13,NL
16,15,NL
14,16,NL
14,17,Both
12,21,NL
17,15,NL
15,17,Both
12,22,NL
17,9,AL
18,14,NL
18,15,NL
15,18,NL
12,15,NL
12,23,NL
18,9,AL
19,15,NL
15,19,NL
13,23,NL
18,10,AL
20,15,AL
18,16,NL
16,19,Both
20,16,NL
19,16,NL
16,17,AL
17,19,NL
12,17,AL
13,24,NL
18,11,AL
19,14,NL
21,16,NL
19,17,NL
18,19,NL
16,18,AL
12,18,AL
14,24,NL
18,12,NL
20,14,AL
21,17,NL
19,18,NL
17,18,NL
15,24,NL
19,12,AL
18,18,NL
15,25,NL
19,13,NL
22,17,NL
19,19,NL
13,18,NL
15,26,NL
23,17,NL
20,17,NL
20,18,NL
20,19,NL
19,20,NL
14,18,NL
15,27,NL
24,17,Both
20,20,NL
16,27,NL
25,17,Both
21,20,NL
14,19,NL
16,28,NL
25,18,Both
21,15,AL
22,20,NL
20,21,NL
16,29,NL
26,18,NL
22,21,NL
21,21,NL
15,20,NL
17,29,NL
27,18,NL
23,21,NL
21,22,NL
24,21,NL
16,20,NL
28,18,NL
24,22,NL
22,22,NL
17,20,AL
25,22,NL
23,22,NL
22,23,NL
20,22,AL
17,31,NL
29,18,AL
21,18,Both
26,23,NL
23,24,NL
20,23,AL
17,33,NL
29,19,AL
22,18,NL
26,24,NL
24,24,NL
20,24,NL
17,34,NL
30,20,AL
22,19,Both
27,24,NL
25,24,NL
24,25,NL
21,24,AL
19,34,NL
31,20,AL
23,19,NL
27,25,NL
26,25,NL
21,26,AL
19,35,NL
31,21,NL
23,20,AL
28,25,NL
21,27,AL
19,36,NL
31,22,NL
24,20,AL
28,24,NL
29,25,NL
24,23,NL
21,28,AL
31,23,NL
29,24,NL
25,21,NL
29,26,NL
25,23,NL
22,29,NL
19,38,NL
32,23,NL
26,21,NL
30,25,NL
30,26,NL
22,30,NL
19,39,NL
33,23,NL
27,21,AL
31,27,NL
25,25,NL
23,30,NL
19,40,NL
33,24,NL
28,21,NL
31,26,NL
32,27,NL
30,27,NL
