Year,NewWins
1901,854
1902,513
1903,394
1904,475
1905,336
1906,303
1907,241
1908,183
1909,182
1910,236
1911,282
1912,189
1913,202
1914,100
1915,83
1916,92
1917,77
1918,14
1919,76
1920,103
1921,42
1922,17
1923,49
1924,19
1925,54
1926,61
1927,104
1928,87
1929,84
1930,42
1931,57
1932,96
1933,14
1934,7
1935,7
1936,27
1937,25
1938,14
1939,62
1940,2
1941,7
1942,11
1943,7
1944,3
1945,2
1946,42
1947,7
1948,15
1949,10
1950,5
1951,10
1952,4
1953,19
1954,33
1955,3
1956,3
1957,1
1958,0
1959,0
1960,0
1961,63
1962,50
1963,40
1964,40
1965,30
1966,34
1967,15
1968,30
1969,41
1970,26
1971,11
1972,2
1973,3
1974,5
1975,6
1976,0
1977,10
1978,4
1979,30
1980,5
1981,3
1982,16
1983,2
1984,21
1985,2
1986,0
1987,4
1988,37
1989,3
1990,3
1991,1
1992,0
1993,0
1994,0
1995,4
1996,4
1997,0
1998,65
1999,0
2000,0
2001,44
2002,0
2003,59
2004,1
2005,0
2006,1
2007,0
2008,2
2009,2
2010,0
2011,0
2012,0
2013,10
2014,0
2015,0
2016,0
2017,0
2018,29
2019,20
2020,0
2021,6
