Loss,Win,Team,Date,Img_Link,Year,Decade
0,0,Everyone,"4, 23, 1901",,1901,1910s
0,1,Chicago White Sox,"4, 24, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png',1901,1910s
1,0,Cleveland Blues,"4, 24, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png',1901,1910s
0,2,Chicago White Sox,"4, 25, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png',1901,1910s
2,0,Cleveland Blues,"4, 25, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png',1901,1910s
0,3,Detroit Tigers,"4, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png',1901,1910s
1,2,Chicago White Sox,"4, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png',1901,1910s
2,1,Cleveland Blues,"4, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png',1901,1910s
3,0,Milwaukee Brewers,"4, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png',1901,1910s
0,4,Detroit Tigers,"4, 28, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png',1901,1910s
1,3,Chicago White Sox,"4, 28, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png',1901,1910s
3,1,Cleveland Blues,"4, 28, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png',1901,1910s
4,0,Milwaukee Brewers,"4, 28, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png',1901,1910s
0,5,Detroit Tigers,"4, 29, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png',1901,1910s
2,3,Chicago White Sox,"4, 29, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png',1901,1910s
3,2,Cleveland Blues,"4, 29, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png',1901,1910s
5,0,Milwaukee Brewers,"4, 29, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png',1901,1910s
1,5,Detroit Tigers,"4, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png',1901,1910s
2,4,Chicago White Sox,"4, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png',1901,1910s
2,2,Baltimore Orioles ,"4, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png',1901,1910s
