Win,Loss,Team,Data,,
0,0,Everyone,"[4, 21, 1876]",,
1,0,BSN,"[4, 22, 1876]",,
0,1,ATH,"[4, 22, 1876]",,
1,1,ATH,"[4, 24, 1876]",BSN,"[4, 24, 1876]"
2,1,BSN,"[4, 25, 1876]",,
2,0,CHC,"[4, 27, 1876]",CIN,"[4, 27, 1876]"
0,2,LOU,"[4, 27, 1876]",STL,"[4, 27, 1876]"
3,0,CHC,"[4, 29, 1876]",,
2,2,BSN,"[4, 29, 1876]",,
1,2,STL,"[4, 29, 1876]",,
0,3,LOU,"[4, 29, 1876]",,
2,3,BSN,"[5, 1, 1876]",,
4,0,CHC,"[5, 2, 1876]",,
1,3,LOU,"[5, 3, 1876]",STL,"[5, 3, 1876]"
3,2,ATH,"[5, 4, 1876]",CIN,"[5, 4, 1876]"
1,4,LOU,"[5, 4, 1876]",,
4,1,CHC,"[5, 5, 1876]",,
3,1,HAR,"[5, 5, 1876]",,
2,4,NYU,"[5, 5, 1876]",,
3,3,ATH,"[5, 6, 1876]",CIN,"[5, 6, 1876]"
2,5,NYU,"[5, 6, 1876]",,
5,1,CHC,"[5, 8, 1876]",HAR,"[5, 8, 1876]"
3,4,ATH,"[5, 8, 1876]",BSN,"[5, 8, 1876]"
3,5,NYU,"[5, 8, 1876]",,
6,1,CHC,"[5, 10, 1876]",,
7,1,CHC,"[5, 11, 1876]",,
4,4,ATH,"[5, 11, 1876]",STL,"[5, 11, 1876]"
3,6,NYU,"[5, 11, 1876]",,
2,6,LOU,"[5, 11, 1876]",,
8,1,CHC,"[5, 13, 1876]",,
5,4,STL,"[5, 13, 1876]",,
4,5,ATH,"[5, 13, 1876]",,
3,7,NYU,"[5, 13, 1876]",,
2,7,LOU,"[5, 13, 1876]",,
4,6,ATH,"[5, 15, 1876]",,
9,1,CHC,"[5, 16, 1876]",,
6,4,STL,"[5, 16, 1876]",,
4,7,ATH,"[5, 16, 1876]",,
2,8,LOU,"[5, 16, 1876]",,
5,5,BSN,"[5, 17, 1876]",,
3,8,CIN,"[5, 18, 1876]",LOU,"[5, 18, 1876]"
9,2,CHC,"[5, 19, 1876]",,
7,4,STL,"[5, 19, 1876]",,
5,6,BSN,"[5, 19, 1876]",,
10,2,CHC,"[5, 20, 1876]",,
7,5,STL,"[5, 20, 1876]",,
6,6,BSN,"[5, 20, 1876]",,
4,8,LOU,"[5, 20, 1876]",,
3,9,CIN,"[5, 20, 1876]",,
11,2,CHC,"[5, 23, 1876]",,
8,5,STL,"[5, 23, 1876]",,
7,6,BSN,"[5, 23, 1876]",,
5,8,LOU,"[5, 23, 1876]",,
3,10,CIN,"[5, 23, 1876]",,
11,3,CHC,"[5, 25, 1876]",,
9,5,STL,"[5, 25, 1876]",,
8,6,BSN,"[5, 25, 1876]",,
3,11,CIN,"[5, 25, 1876]",,
6,8,LOU,"[5, 26, 1876]",,
4,9,ATH,"[5, 26, 1876]",,
12,3,CHC,"[5, 27, 1876]",,
10,3,HAR,"[5, 27, 1876]",,
9,6,BSN,"[5, 27, 1876]",STL,"[5, 27, 1876]"
6,9,LOU,"[5, 27, 1876]",,
5,9,ATH,"[5, 27, 1876]",,
4,10,NYU,"[5, 27, 1876]",,
3,12,CIN,"[5, 27, 1876]",,
13,3,CHC,"[5, 30, 1876]",,
10,6,STL,"[5, 30, 1876]",,
9,7,BSN,"[5, 30, 1876]",,
6,10,LOU,"[5, 30, 1876]",,
5,10,ATH,"[5, 30, 1876]",NYU,"[5, 30, 1876]"
3,13,CIN,"[5, 30, 1876]",,
14,3,CHC,"[6, 1, 1876]",,
11,4,HAR,"[6, 1, 1876]",,
11,6,STL,"[6, 1, 1876]",,
9,8,BSN,"[6, 1, 1876]",,
6,11,LOU,"[6, 1, 1876]",,
5,11,ATH,"[6, 1, 1876]",,
4,13,CIN,"[6, 1, 1876]",,
15,3,CHC,"[6, 3, 1876]",,
12,4,HAR,"[6, 3, 1876]",,
12,6,STL,"[6, 3, 1876]",,
9,9,BSN,"[6, 3, 1876]",,
7,11,LOU,"[6, 3, 1876]",,
5,12,ATH,"[6, 3, 1876]",,
4,14,CIN,"[6, 3, 1876]",,
16,3,CHC,"[6, 6, 1876]",,
13,4,HAR,"[6, 6, 1876]",,
12,7,STL,"[6, 6, 1876]",,
9,10,BSN,"[6, 6, 1876]",,
8,11,LOU,"[6, 6, 1876]",,
5,13,ATH,"[6, 6, 1876]",,
4,15,CIN,"[6, 6, 1876]",,
17,3,CHC,"[6, 8, 1876]",,
14,4,HAR,"[6, 8, 1876]",,
12,8,STL,"[6, 8, 1876]",,
9,11,BSN,"[6, 8, 1876]",LOU,"[6, 8, 1876]"
5,14,ATH,"[6, 8, 1876]",,
4,16,CIN,"[6, 8, 1876]",,
18,3,CHC,"[6, 10, 1876]",,
15,4,HAR,"[6, 10, 1876]",,
12,9,STL,"[6, 10, 1876]",,
10,11,LOU,"[6, 10, 1876]",,
9,12,BSN,"[6, 10, 1876]",,
5,15,ATH,"[6, 10, 1876]",,
4,17,CIN,"[6, 10, 1876]",,
19,3,CHC,"[6, 13, 1876]",,
16,4,HAR,"[6, 13, 1876]",,
10,12,LOU,"[6, 13, 1876]",,
13,9,STL,"[6, 14, 1876]",,
9,13,BSN,"[6, 14, 1876]",,
6,15,ATH,"[6, 14, 1876]",,
4,18,CIN,"[6, 14, 1876]",,
19,4,CHC,"[6, 15, 1876]",,
17,4,HAR,"[6, 15, 1876]",,
13,10,STL,"[6, 15, 1876]",,
10,13,BSN,"[6, 15, 1876]",LOU,"[6, 15, 1876]"
7,15,ATH,"[6, 15, 1876]",,
4,19,CIN,"[6, 15, 1876]",,
20,4,CHC,"[6, 17, 1876]",,
18,4,HAR,"[6, 17, 1876]",,
14,10,STL,"[6, 17, 1876]",,
10,14,BSN,"[6, 17, 1876]",LOU,"[6, 17, 1876]"
8,15,ATH,"[6, 17, 1876]",,
4,20,CIN,"[6, 17, 1876]",,
21,4,CHC,"[6, 20, 1876]",,
15,10,STL,"[6, 20, 1876]",,
11,14,BSN,"[6, 20, 1876]",,
8,16,ATH,"[6, 20, 1876]",,
4,21,CIN,"[6, 20, 1876]",,
22,4,CHC,"[6, 22, 1876]",,
16,10,STL,"[6, 22, 1876]",,
12,14,BSN,"[6, 22, 1876]",,
10,15,LOU,"[6, 22, 1876]",NYU,"[6, 22, 1876]"
8,17,ATH,"[6, 22, 1876]",,
4,22,CIN,"[6, 22, 1876]",,
23,4,CHC,"[6, 24, 1876]",,
19,5,HAR,"[6, 24, 1876]",,
17,10,STL,"[6, 24, 1876]",,
13,14,BSN,"[6, 24, 1876]",,
11,15,LOU,"[6, 24, 1876]",,
10,16,NYU,"[6, 24, 1876]",,
8,18,ATH,"[6, 24, 1876]",,
4,23,CIN,"[6, 24, 1876]",,
20,5,HAR,"[6, 26, 1876]",,
11,16,LOU,"[6, 26, 1876]",,
23,5,CHC,"[6, 27, 1876]",,
21,5,HAR,"[6, 27, 1876]",,
18,10,STL,"[6, 27, 1876]",,
14,14,BSN,"[6, 27, 1876]",,
11,17,LOU,"[6, 27, 1876]",,
10,17,NYU,"[6, 27, 1876]",,
9,18,ATH,"[6, 27, 1876]",,
4,24,CIN,"[6, 27, 1876]",,
24,5,CHC,"[6, 29, 1876]",,
22,5,HAR,"[6, 29, 1876]",,
19,10,STL,"[6, 29, 1876]",,
14,15,BSN,"[6, 29, 1876]",,
12,17,LOU,"[6, 29, 1876]",,
10,18,NYU,"[6, 29, 1876]",,
9,19,ATH,"[6, 29, 1876]",,
4,25,CIN,"[6, 29, 1876]",,
25,5,CHC,"[7, 1, 1876]",,
15,15,BSN,"[7, 1, 1876]",,
12,18,LOU,"[7, 1, 1876]",,
9,20,ATH,"[7, 1, 1876]",,
25,6,CHC,"[7, 4, 1876]",,
19,11,STL,"[7, 4, 1876]",,
16,15,BSN,"[7, 4, 1876]",,
13,18,LOU,"[7, 4, 1876]",,
10,19,NYU,"[7, 4, 1876]",,
10,20,ATH,"[7, 4, 1876]",,
4,26,CIN,"[7, 4, 1876]",,
25,7,CHC,"[7, 6, 1876]",,
19,12,STL,"[7, 6, 1876]",,
17,15,BSN,"[7, 6, 1876]",,
14,18,LOU,"[7, 6, 1876]",,
10,21,ATH,"[7, 6, 1876]",,
5,26,CIN,"[7, 6, 1876]",,
26,7,CHC,"[7, 8, 1876]",,
24,6,HAR,"[7, 8, 1876]",,
20,12,STL,"[7, 8, 1876]",,
17,16,BSN,"[7, 8, 1876]",,
10,22,ATH,"[7, 8, 1876]",,
6,26,CIN,"[7, 8, 1876]",,
14,19,LOU,"[7, 10, 1876]",,
11,20,NYU,"[7, 10, 1876]",,
27,7,CHC,"[7, 11, 1876]",,
24,7,HAR,"[7, 11, 1876]",,
21,12,STL,"[7, 11, 1876]",,
17,17,BSN,"[7, 11, 1876]",,
15,19,LOU,"[7, 11, 1876]",,
12,20,NYU,"[7, 11, 1876]",,
10,23,ATH,"[7, 11, 1876]",,
6,27,CIN,"[7, 11, 1876]",,
28,7,CHC,"[7, 13, 1876]",,
24,8,HAR,"[7, 13, 1876]",,
22,12,STL,"[7, 13, 1876]",,
17,18,BSN,"[7, 13, 1876]",,
16,19,LOU,"[7, 13, 1876]",,
13,20,NYU,"[7, 13, 1876]",,
10,24,ATH,"[7, 13, 1876]",,
6,28,CIN,"[7, 13, 1876]",,
29,7,CHC,"[7, 15, 1876]",,
24,9,HAR,"[7, 15, 1876]",,
23,12,STL,"[7, 15, 1876]",,
17,19,BSN,"[7, 15, 1876]",,
16,20,LOU,"[7, 15, 1876]",,
14,20,NYU,"[7, 15, 1876]",,
11,24,ATH,"[7, 15, 1876]",,
6,29,CIN,"[7, 15, 1876]",,
30,7,CHC,"[7, 18, 1876]",,
24,12,STL,"[7, 18, 1876]",,
16,21,LOU,"[7, 18, 1876]",,
6,30,CIN,"[7, 18, 1876]",,
18,19,BSN,"[7, 19, 1876]",,
11,25,ATH,"[7, 19, 1876]",,
31,7,CHC,"[7, 20, 1876]",,
25,12,STL,"[7, 20, 1876]",,
19,19,BSN,"[7, 20, 1876]",,
16,22,LOU,"[7, 20, 1876]",,
14,21,NYU,"[7, 20, 1876]",,
6,31,CIN,"[7, 20, 1876]",,
25,9,HAR,"[7, 21, 1876]",,
11,26,ATH,"[7, 21, 1876]",,
32,7,CHC,"[7, 22, 1876]",,
25,10,HAR,"[7, 22, 1876]",,
26,12,STL,"[7, 22, 1876]",,
15,21,NYU,"[7, 22, 1876]",,
16,23,LOU,"[7, 22, 1876]",,
6,32,CIN,"[7, 22, 1876]",,
33,7,CHC,"[7, 25, 1876]",,
26,13,STL,"[7, 25, 1876]",,
20,19,BSN,"[7, 25, 1876]",,
17,23,LOU,"[7, 25, 1876]",,
15,22,NYU,"[7, 25, 1876]",,
6,33,CIN,"[7, 25, 1876]",,
34,7,CHC,"[7, 27, 1876]",,
26,14,STL,"[7, 27, 1876]",,
21,19,BSN,"[7, 27, 1876]",,
18,23,LOU,"[7, 27, 1876]",,
15,23,NYU,"[7, 27, 1876]",,
