Loss,Win,Team,Date,Img_Link,Year,Decade
0,0,Brooklyn Dodgers,"4, 17, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/BRO-1957.png,1901,1910s
0,1,Philadelphia Phillies,"4, 18, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PHI-2021.png,1901,1910s
1,0,Brooklyn Dodgers,"4, 18, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/BRO-1957.png,1901,1910s
0,2,Philadelphia Phillies,"4, 19, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PHI-2021.png,1901,1910s
2,0,Chicago Cubs,"4, 19, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
1,1,St. Louis Cardinals,"4, 20, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/STL-2021.png,1901,1910s
1,2,Chicago Cubs,"4, 21, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
2,1,St. Louis Cardinals,"4, 21, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/STL-2021.png,1901,1910s
1,3,Philadelphia Phillies,"4, 23, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PHI-2021.png,1901,1910s
2,2,St. Louis Cardinals,"4, 23, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/STL-2021.png,1901,1910s
2,3,Chicago Cubs,"4, 24, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
3,1,Philadelphia Phillies,"4, 24, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PHI-2021.png,1901,1910s
3,2,Chicago Cubs,"4, 26, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
4,1,St. Louis Cardinals,"4, 26, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/STL-2021.png,1901,1910s
2,4,Philadelphia Phillies,"4, 27, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PHI-2021.png,1901,1910s
3,3,Chicago Cubs,"4, 27, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
5,1,Cincinnati Reds,"4, 27, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CIN-2021.png,1901,1910s
1,4,Chicago Cubs,"4, 28, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
6,1,Philadelphia Phillies,"4, 28, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PHI-2021.png,1901,1910s
3,4,Chicago Cubs,"4, 29, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
6,2,St. Louis Cardinals,"4, 29, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/STL-2021.png,1901,1910s
3,5,Philadelphia Phillies,"4, 30, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PHI-2021.png,1901,1910s
4,4,Chicago Cubs,"4, 30, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
6,3,Philadelphia Phillies,"4, 30, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PHI-2021.png,1901,1910s
4,5,Pitsburgh Pirates,"5, 1, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PIT-2021.png,1901,1910s
4,3,Chicago Cubs,"5, 1, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
6,4,New York Giants,"5, 1, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/NYG-1957.png,1901,1910s
4,2,Cincinnati Reds,"5, 1, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CIN-2021.png,1901,1910s
3,6,Philadelphia Phillies,"5, 2, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PHI-2021.png,1901,1910s
5,5,Chicago Cubs,"5, 2, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
7,4,Philadelphia Phillies,"5, 2, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PHI-2021.png,1901,1910s
6,5,Chicago Cubs,"5, 3, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
8,4,Brooklyn Dodgers,"5, 3, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/BRO-1957.png,1901,1910s
4,6,Philadelphia Phillies,"5, 4, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PHI-2021.png,1901,1910s
6,6,New York Giants,"5, 4, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/NYG-1957.png,1901,1910s
5,3,Chicago Cubs,"5, 4, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CHC-2021.png,1901,1910s
8,5,Cincinnati Reds,"5, 4, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/CIN-2021.png,1901,1910s
3,7,Pitsburgh Pirates,"5, 5, 1901",https://cdn.ssref.net/req/202212072/tlogo/br/PIT-2021.png,1901,1910s
