Year,NewWins
1901,805
1902,579
1903,564
1904,492
1905,430
1906,432
1907,345
1908,234
1909,273
1910,168
1911,192
1912,210
1913,142
1914,96
1915,70
1916,51
1917,73
1918,43
1919,60
1920,33
1921,52
1922,35
1923,53
1924,19
1925,25
1926,18
1927,9
1928,62
1929,29
1930,20
1931,26
1932,4
1933,4
1934,18
1935,53
1936,8
1937,4
1938,12
1939,10
1940,12
1941,34
1942,53
1943,17
1944,30
1945,22
1946,5
1947,1
1948,0
1949,1
1950,4
1951,4
1952,38
1953,10
1954,5
1955,25
1956,0
1957,1
1958,0
1959,4
1960,1
1961,19
1962,100
1963,56
1964,50
1965,55
1966,25
1967,29
1968,12
1969,31
1970,19
1971,14
1972,4
1973,11
1974,5
1975,15
1976,21
1977,10
1978,1
1979,2
1980,2
1981,1
1982,3
1983,2
1984,2
1985,8
1986,4
1987,1
1988,6
1989,0
1990,0
1991,2
1992,0
1993,11
1994,0
1995,0
1996,0
1997,6
1998,14
1999,3
2000,0
2001,0
2002,5
2003,0
2004,15
2005,0
2006,0
2007,0
2008,1
2009,1
2010,5
2011,0
2012,2
2013,0
2014,0
2015,0
2016,1
2017,9
2018,2
2019,0
2020,0
2021,4
